"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
1,2012-02-12,"27","13","20","M","0","14","45"," 0","-","-"," ","M","0.00","29.51","29.72","11.8","31","12.4"
2,2012-02-12,"23","11","17","-8","0","13","48"," 0","0648","1716"," ","0.0","0.00","28.53","29.70","15.8","30","16.4"
1,2012-02-13,"41","14","28","M","11","24","37"," 0","-","-"," ","M","0.00","29.70","29.87"," 8.7","24","9.6"
2,2012-02-13,"37","12","25"," 0","12","22","40"," 0","0647","1717","SN","  T","  T","28.72","29.87","11.1","25","11.8"
1,2012-02-14,"45","23","34","M","15","28","31"," 0","-","-"," ","M","0.00","29.89","30.08"," 2.5","21","3.0"
2,2012-02-14,"40","27","34"," 8","11","26","31"," 0","0645","1718"," ","0.0","0.00","28.91","30.05"," 6.4","24","7.6"
1,2012-02-15,"45","32","39","M","29","34","26"," 0","-","-","RA","M","  T","29.99","30.18"," 0.5","03","0.6"
2,2012-02-15,"44","33","39","13","30","34","26"," 0","0644","1720","RA UP","0.0","  T","29.02","30.15"," 3.9","28","4.6"
1,2012-02-16,"47","27","37","M","30","35","28"," 0","-","-","RA BR","M","0.05","30.04","30.19"," 2.4","21","2.5"
2,2012-02-16,"43","29","36","10","29","33","29"," 0","0643","1721","RA SN BR","  T","0.15","29.07","30.18"," 5.2","24","7.1"
1,2012-02-17,"52","35","44","M","30","38","21"," 0","-","-","RA BR","M","  T","29.77","29.92"," 6.6","25","8.0"
2,2012-02-17,"46","31","39","13","29","35","26"," 0","0641","1722","RA BR","0.0","0.06","28.82","29.92"," 9.3","27","11.0"
1,2012-02-18,"48","31","40","M","22","32","25"," 0","-","-","RA","M","  T","29.74","29.91"," 8.5","27","8.9"
2,2012-02-18,"42","30","36","10","21","30","29"," 0","0640","1723"," ","0.0","0.00","28.80","29.92","10.9","27","11.2"
1,2012-02-19,"44","28","36","M","18","29","29"," 0","-","-"," ","M","0.00","29.86","30.03"," 6.0","32","6.6"
2,2012-02-19,"41","27","34"," 7","17","28","31"," 0","0638","1725"," ","0.0","0.00","28.89","30.00"," 5.2","33","6.2"
1,2012-02-20,"41","24","33","M","11","26","32"," 0","-","-"," ","M","0.00","29.95","30.14"," 6.1","32","6.4"
2,2012-02-20,"38","22","30"," 3","9","23","35"," 0","0637","1726"," ","0.0","0.00","28.96","30.12"," 9.0","34","9.8"
1,2012-02-21,"44","20","32","M","19","29","33"," 0","-","-"," ","M","  T","30.06","30.18"," 3.8","19","4.2"
2,2012-02-21,"40","21","31"," 4","18","27","34"," 0","0636","1727","RA SN","  T","  T","29.07","30.16"," 6.4","21","8.7"
1,2012-02-22,"56","34","45","M","29","39","20"," 0","-","-"," ","M","0.00","29.52","29.65"," 6.0","23","6.7"
2,2012-02-22,"52","35","44","17","29","37","21"," 0","0634","1728"," ","0.0","0.00","28.58","29.65","11.1","23","11.5"
1,2012-02-23,"51","39","45","M","32","39","20"," 0","-","-","RA","M","0.07","29.33","29.52"," 4.7","29","5.8"
2,2012-02-23,"49","33","41","13","31","37","24"," 0","0633","1730","RA BR","0.0","0.01","28.40","29.52"," 9.0","27","10.2"
1,2012-02-24,"41","33","37","M","30","35","28"," 0","-","-","RA SN BR","M","0.77","29.52","29.62"," 2.4","06","3.5"
2,2012-02-24,"36","31","34"," 6","29","32","31"," 0","0631","1731","RA SN FG+ BR UP","0.2","0.67","28.54","29.59"," 3.8","07","6.4"
1,2012-02-25,"44","31","38","M","22","32","27"," 0","-","-"," ","M","  T","29.17","29.39","17.7","27","18.3"
2,2012-02-25,"38","27","33"," 5","21","29","32"," 0","0629","1732","SN","  T","  T","28.27","29.43","23.3","27","23.6"
1,2012-02-26,"39","25","32","M","5","24","33"," 0","-","-"," ","M","0.00","29.99","30.23","11.4","30","11.6"
2,2012-02-26,"36","21","29"," 1","4","21","36"," 0","0628","1733"," ","0.0","0.00","29.03","30.23","14.5","29","14.9"
1,2012-02-27,"51","20","36","M","20","31","29"," 0","-","-"," ","M","0.00","30.14","30.26"," 4.3","20","5.0"
2,2012-02-27,"48","20","34"," 5","20","30","31"," 0","0626","1735"," ","0.0","0.00","29.15","30.24"," 9.7","22","11.1"
1,2012-02-28,"45","30","38","M","18","32","27"," 0","-","-"," ","M","0.00","30.05","30.25"," 7.6","30","8.6"
2,2012-02-28,"44","31","38"," 9","17","30","27"," 0","0625","1736"," ","0.0","0.00","29.09","30.25"," 9.9","30","10.5"
1,2012-02-29,"37","30","34","M","21","29","31"," 0","-","-","SN FG BR","M","0.20","30.12","30.25"," 3.0","07","3.4"
2,2012-02-29,"33","28","31"," 2","21","27","34"," 0","0619","1734","SN FG+ FZFG BR","4.0","0.51","29.11","30.19"," 4.4","07","5.1"
1,2012-03-01,"35","23","29","M","26","28","36"," 0","-","-","SN FG+ FZFG BR","M","0.47","29.72","29.89","12.6","04","13.8"
2,2012-03-01,"32","20","26","-3","26","27","39"," 0","0623","1737","FZRA SN FZFG BR","4.3","0.54","28.69","29.83","13.3","05","14.1"
1,2012-03-02,"31","21","26","M","21","24","39"," 0","-","-","SN BR","M","0.00","29.97","30.13"," 3.6","03","4.2"
2,2012-03-02,"28","20","24","-6","22","23","41"," 0","0622","1738","SN FG+ FZFG BR UP","0.5","0.04","28.95","30.08"," 4.6","09","6.2"
1,2012-03-03,"43","30","37","M","34","37","28"," 0","-","-","RA SN FG+ BR","M","0.47","29.46","29.58"," 1.9","17","4.6"
2,2012-03-03,"41","28","35"," 5","33","35","30"," 0","0620","1739","RA FZRA FG+ FG FZFG BR","0.2","0.53","28.50","29.57"," 3.6","24","8.5"
1,2012-03-04,"41","31","36","M","21","31","29"," 0","-","-"," ","M","0.00","29.44","29.62"," 5.3","24","5.8"
2,2012-03-04,"39","28","34"," 4","19","28","31"," 0","0618","1741"," ","0.0","0.00","28.50","29.61"," 7.7","27","8.1"
1,2012-03-05,"35","22","29","M","11","24","36"," 0","-","-"," ","M","0.00","29.72","29.97"," 9.1","28","10.7"
2,2012-03-05,"31","18","25","-6","7","20","40"," 0","0617","1742"," ","0.0","0.00","28.77","29.97","14.1","28","14.6"
1,2012-03-06,"38","17","28","M","3","21","37"," 0","-","-"," ","M","0.00","30.32","30.52"," 5.8","30","6.9"
2,2012-03-06,"35","12","24","-7","3","19","41"," 0","0615","1743"," ","0.0","0.00","29.31","30.50"," 7.5","28","9.2"
1,2012-03-07,"60","27","44","M","26","37","21"," 0","-","-"," ","M","0.00","30.24","30.37"," 9.6","21","9.7"
2,2012-03-07,"56","28","42","11","26","36","23"," 0","0613","1744"," ","0.0","0.00","29.28","30.38","17.2","23","17.4"
1,2012-03-08,"71","49","60","M","44","51","5"," 0","-","-","RA HZ","M","0.00","29.88","29.99","17.8","21","17.9"
2,2012-03-08,"64","45","55","23","43","49","10"," 0","0612","1745","RA","0.0","  T","28.97","30.01","22.7","22","23.1"
1,2012-03-09,"62","33","48","M","23","35","17"," 0","-","-","RA SN BR","M","0.03","29.78","30.00"," 7.9","29","9.6"
2,2012-03-09,"57","30","44","12","22","31","21"," 0","0610","1747","RA SN BR","  T","0.08","28.84","30.00","12.7","28","13.3"
1,2012-03-10,"40","29","35","M","22","30","30"," 0","-","-","SN BR","M","0.03","30.19","30.40"," 2.9","35","6.0"
2,2012-03-10,"35","25","30","-2","16","25","35"," 0","0608","1748"," ","0.0","0.00","29.21","30.38"," 7.7","30","10.1"
1,2012-03-11,"59","29","44","M","22","36","21"," 0","-","-"," ","M","0.00","30.21","30.35"," 8.9","22","9.2"
2,2012-03-11,"54","27","41"," 8","20","33","24"," 0","0607","1749"," ","0.0","0.00","29.25","30.36","12.9","23","13.3"
1,2012-03-12,"73","38","56","M","30","44","9"," 0","-","-"," ","M","0.00","30.03","30.19"," 3.5","22","4.6"
2,2012-03-12,"68","35","52","19","27","43","13"," 0","0605","1750"," ","0.0","0.00","29.11","30.20"," 7.9","25","8.6"
1,2012-03-13,"74","53","64","M","46","54","1"," 0","-","-","RA BR","M","  T","29.83","29.97"," 5.7","22","6.5"
2,2012-03-13,"69","47","58","25","47","51","7"," 0","0603","1751","RA BR","0.0","0.28","28.90","29.98"," 9.8","23","10.1"
1,2012-03-14,"59","39","M","M","39","42","M","M","-","-","BR","M","0.15","29.95","30.14"," 6.9","07","7.2"
2,2012-03-14,"61","36","49","15","37","44","16"," 0","0602","1752","FG BR","0.0","0.00","28.97","30.10"," 4.5","32","8.6"
1,2012-03-15,"44","37","41","M","31","36","24"," 0","-","-"," ","M","  T","30.19","30.36"," 3.3","07","4.6"
2,2012-03-15,"46","35","41"," 7","34","37","24"," 0","0560","1754","RA FG BR","0.0","  T","29.19","30.32"," 2.8","09","4.0"
1,2012-03-16,"44","37","41","M","35","38","24"," 0","-","-","RA BR","M","0.07","30.08","30.22"," 1.5","19","3.8"
2,2012-03-16,"49","32","41"," 7","36","38","24"," 0","0558","1755","RA BR","0.0","0.07","29.10","30.20"," 3.7","23","6.1"
1,2012-03-17,"53","39","46","M","39","43","19"," 0","-","-","FG BR","M","0.00","30.14","30.33"," 0.4","36","2.3"
2,2012-03-17,"53","39","46","11","40","44","19"," 0","0557","1756"," ","0.0","0.00","29.18","30.31"," 0.4","21","4.5"
1,2012-03-18,"79","40","60","M","43","51","5"," 0","-","-"," ","M","0.00","30.06","30.21"," 6.6","22","6.8"
2,2012-03-18,"74","39","57","22","42","48","8"," 0","0555","1757"," ","0.0","0.00","29.15","30.24","12.4","25","12.6"
1,2012-03-19,"80","45","63","M","44","51","2"," 0","-","-","BR","M","0.00","30.02","30.20"," 3.2","08","5.7"
2,2012-03-19,"78","50","64","29","45","53","1"," 0","0553","1758"," ","0.0","0.00","29.08","30.18"," 1.3","29","7.2"
1,2012-03-20,"82","41","62","M","45","53","3"," 0","-","-"," ","M","0.00","30.11","30.28"," 3.1","21","4.1"
2,2012-03-20,"76","43","60","25","46","53","5"," 0","0551","1759"," ","0.0","0.00","29.18","30.29"," 6.9","25","8.8"
1,2012-03-21,"82","57","70","M","53","60","0"," 5","-","-"," ","M","0.00","30.11","30.27"," 7.5","22","7.8"
2,2012-03-21,"73","55","64","28","54","57","1"," 0","0550","1800","FG+ BR","0.0","0.00","29.21","30.30","11.2","25","11.5"
1,2012-03-22,"85","57","71","M","52","60","0"," 6","-","-"," ","M","0.00","29.95","30.08"," 5.0","24","6.1"
2,2012-03-22,"78","56","67","31","52","58","0"," 2","0548","1802","BR","0.0","0.00","29.05","30.12","10.6","26","11.0"
1,2012-03-23,"75","58","67","M","34","52","0"," 2","-","-"," ","M","0.00","29.90","30.06"," 9.2","33","9.7"
2,2012-03-23,"73","56","65","28","36","51","0"," 0","0546","1803"," ","0.0","0.00","28.98","30.06"," 6.5","34","8.3"
1,2012-03-24,"58","47","53","M","28","41","12"," 0","-","-","RA","M","  T","29.96","30.12"," 2.5","10","4.8"
2,2012-03-24,"58","46","52","15","23","40","13"," 0","0544","1804","RA","0.0","  T","28.99","30.08"," 2.3","09","5.5"
1,2012-03-25,"48","42","45","M","38","42","20"," 0","-","-","RA BR","M","0.07","29.77","29.89"," 2.8","05","3.5"
2,2012-03-25,"45","39","M","M","35","39","M","M","0543","1805","RA BR","0.0","0.03","28.79","29.86"," 2.7","05","3.3"
1,2012-03-26,"47","32","40","M","20","33","25"," 0","-","-"," ","M","  T","29.60","29.80","12.1","32","13.2"
2,2012-03-26,"47","27","37","-1","20","32","28"," 0","0541","1806","RA","0.0","  T","28.66","29.79","15.6","32","16.7"
1,2012-03-27,"48","26","37","M","0","27","28"," 0","-","-"," ","M","0.00","29.95","30.13","10.4","32","10.6"
2,2012-03-27,"45","22","34","-4","-3","24","31"," 0","0539","1807"," ","0.0","0.00","28.98","30.13","12.8","32","13.3"
1,2012-03-28,"54","35","45","M","28","38","20"," 0","-","-","RA","M","0.01","29.70","29.80"," 1.0","17","4.3"
2,2012-03-28,"50","35","43"," 5","27","37","22"," 0","0538","1808","RA","0.0","0.04","28.74","29.78"," 6.6","22","8.0"
1,2012-03-29,"46","39","43","M","32","38","22"," 0","-","-","RA","M","0.02","29.55","29.76"," 6.0","35","7.6"
2,2012-03-29,"49","36","43"," 4","32","38","22"," 0","0536","1810","RA","0.0","0.01","28.61","29.74","12.0","32","12.8"
1,2012-03-30,"50","34","42","M","15","33","23"," 0","-","-"," ","M","0.00","29.82","30.00"," 7.9","32","8.5"
2,2012-03-30,"48","29","39"," 0","14","31","26"," 0","0534","1811","SN","  T","  T","28.87","29.99"," 7.0","32","8.3"
1,2012-03-31,"48","33","41","M","27","35","24"," 0","-","-"," ","M","  T","29.82","29.97"," 4.0","07","5.1"
2,2012-03-31,"41","32","37","-2","29","33","28"," 0","0532","1812","SN BR","0.1","0.04","28.84","29.94"," 2.9","05","5.6"
1,2012-04-01,"53","29","41","M","31","37","24"," 0","-","-","RA BR","M","0.15","29.64","29.77"," 1.7","20","2.9"
2,2012-04-01,"48","32","40"," 0","33","37","25"," 0","0531","1813","RA BR","0.0","0.19","28.67","29.75"," 6.3","26","7.3"
1,2012-04-02,"55","37","46","M","23","37","19"," 0","-","-","RA","M","0.03","29.52","29.70","10.1","34","10.8"
2,2012-04-02,"50","33","42"," 2","22","34","23"," 0","0529","1814"," ","0.0","  T","28.58","29.70","11.8","35","12.1"
1,2012-04-03,"59","31","45","M","11","34","20"," 0","-","-"," ","M","0.00","29.62","29.77"," 8.2","32","8.5"
2,2012-04-03,"55","30","43"," 3","9","32","22"," 0","0527","1815"," ","0.0","0.00","28.69","29.78","10.4","32","10.7"
1,2012-04-04,"63","38","51","M","22","39","14"," 0","-","-"," ","M","0.02","29.44","29.59"," 7.9","30","8.7"
2,2012-04-04,"59","36","48"," 7","22","37","17"," 0","0526","1816"," ","0.0","0.02","28.52","29.60","11.8","29","12.7"
1,2012-04-05,"52","37","45","M","23","35","20"," 0","-","-"," ","M","0.00","29.60","29.79"," 9.0","32","10.0"
2,2012-04-05,"48","32","40","-1","23","33","25"," 0","0524","1817"," ","0.0","0.00","28.66","29.79"," 9.4","31","10.2"
1,2012-04-06,"53","32","43","M","19","34","22"," 0","-","-"," ","M","0.00","29.76","29.93"," 6.7","31","7.7"
2,2012-04-06,"49","30","40","-1","17","32","25"," 0","0522","1819"," ","0.0","0.00","28.81","29.93"," 9.9","32","10.7"
1,2012-04-07,"56","33","45","M","21","35","20"," 0","-","-"," ","M","  T","29.82","29.98"," 3.1","34","5.3"
2,2012-04-07,"53","32","43"," 1","17","33","22"," 0","0520","1820"," ","0.0","0.00","28.86","29.97"," 9.9","33","10.3"
1,2012-04-08,"50","40","45","M","26","38","20"," 0","-","-"," ","M","  T","29.63","29.75"," 4.7","31","6.1"
2,2012-04-08,"52","38","45"," 3","22","36","20"," 0","0519","1821"," ","0.0","0.00","28.69","29.74"," 9.0","29","9.8"
1,2012-04-09,"55","37","46","M","30","41","19"," 0","-","-","RA","M","  T","29.37","29.53","13.5","26","14.2"
2,2012-04-09,"53","41","47"," 4","28","38","18"," 0","0517","1822"," ","0.0","0.00","28.46","29.55","17.7","27","17.8"
1,2012-04-10,"62","43","53","M","27","41","12"," 0","-","-"," ","M","0.00","29.47","29.65"," 6.6","25","7.9"
2,2012-04-10,"57","39","48"," 5","22","37","17"," 0","0515","1823","RA","0.0","  T","28.54","29.65","10.5","26","11.3"
1,2012-04-11,"60","42","51","M","31","41","14"," 0","-","-"," ","M","  T","29.65","29.82"," 1.4","03","4.1"
2,2012-04-11,"52","38","45"," 2","30","38","20"," 0","0514","1824","RA","0.0","0.09","28.69","29.80"," 5.1","31","6.7"
1,2012-04-12,"57","39","48","M","38","42","17"," 0","-","-","RA","M","0.21","29.80","29.99"," 3.1","01","4.6"
2,2012-04-12,"51","37","44"," 0","35","40","21"," 0","0512","1825","RA","0.0","0.06","28.85","29.97"," 7.2","36","9.1"
1,2012-04-13,"65","34","50","M","28","41","15"," 0","-","-"," ","M","0.00","29.93","30.08"," 4.1","30","4.6"
2,2012-04-13,"61","37","49"," 5","26","40","16"," 0","0511","1826"," ","0.0","0.00","28.99","30.09"," 8.9","30","9.6"
1,2012-04-14,"72","39","56","M","26","44","9"," 0","-","-"," ","M","0.00","29.90","30.05"," 4.6","23","5.9"
2,2012-04-14,"67","44","56","12","23","42","9"," 0","0509","1828"," ","0.0","0.00","28.97","30.07"," 9.9","26","10.8"
1,2012-04-15,"80","51","66","M","45","56","0"," 1","-","-"," ","M","0.00","29.78","29.95"," 7.1","24","7.4"
